Ticker,Return [%],WinRate [%],MaxDD [%],Trades
AVBP,0.0,0.0,-0.0,0
AVD,0.0,0.0,-0.0,0
AVDL,0.0,0.0,-0.0,0
AVDX,0.0,0.0,-0.0,0
AVGB,0.0,0.0,0.0,0
AVGG,0.0,0.0,0.0,0
AVGO,0.0,0.0,-0.0,0
AVGX,0.0,0.0,0.0,0
AVIR,0.0,0.0,-0.0,0
AVK,0.0,0.0,-0.0,0
AVL,0.0,0.0,0.0,0
AVNS,0.0,0.0,-0.0,0
AVNT,0.0,0.0,-0.0,0
AVNW,0.0,0.0,-0.0,0
AVO,0.0,0.0,-0.0,0
AVPT,0.0,0.0,-0.0,0
AVPTW,0.0,0.0,0.0,0
AVR,0.0,0.0,0.0,0
AVS,0.0,0.0,0.0,0
AVT,0.0,0.0,-0.0,0
AVTR,0.0,0.0,-0.0,0
AVTX,0.0,0.0,-0.0,0
AVUQ,0.0,0.0,0.0,0
AVXC,0.0,0.0,-0.0,0
AVXL,0.0,0.0,-0.0,0
AVY,0.0,0.0,-0.0,0
AWF,0.0,0.0,-0.0,0
AWI,0.0,0.0,-0.0,0
AWK,0.0,0.0,-0.0,0
AWP,0.0,0.0,-0.0,0
AWR,0.0,0.0,-0.0,0
AWRE,0.0,0.0,-0.0,0
AX,0.0,0.0,-0.0,0
AXGN,0.0,0.0,-0.0,0
AXINU,0.0,0.0,0.0,0
AXL,0.0,0.0,-0.0,0
AXON,0.0,0.0,-0.0,0
AXP,0.0,0.0,-0.0,0
AXR,0.0,0.0,-0.0,0
AXS,0.0,0.0,-0.0,0
AXS$E,0.0,0.0,0.0,0
AXSM,0.0,0.0,-0.0,0
